,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Bajra(Pearl Millet/Cumbu),01-01-2025,2775.00,1950.37,Metric Tonnes,2500.79,2610.31,2696.00,Rs./Quintal
Cereals,Barley(Jau),01-01-2025,1980.00,153.80,Metric Tonnes,2430.55,2482.13,2523.82,Rs./Quintal
Cereals,Jowar(Sorghum),01-01-2025,3699.00,1036.38,Metric Tonnes,2575.83,3179.42,3554.83,Rs./Quintal
Cereals,Kodo Millet(Varagu),01-01-2025,-,95.66,Metric Tonnes,2198.36,2239.62,2239.62,Rs./Quintal
Cereals,Kutki,01-01-2025,-,25.32,Metric Tonnes,3070.96,3093.67,3093.67,Rs./Quintal
Cereals,Maize,01-01-2025,2400.00,18858.58,Metric Tonnes,2035.51,2250.47,2333.29,Rs./Quintal
Cereals,Paddy(Basmati),01-01-2025,-,11686.60,Metric Tonnes,2761.49,2997.66,3112.78,Rs./Quintal
Cereals,Paddy(Common),01-01-2025,2369.00,237852.99,Metric Tonnes,2228.07,2268.08,2288.89,Rs./Quintal
Cereals,Ragi(Finger Millet),01-01-2025,4886.00,103.40,Metric Tonnes,3183.76,3340.95,3463.47,Rs./Quintal
Cereals,Rice,01-01-2025,-,14827.11,Metric Tonnes,3217.51,3391.31,3532.47,Rs./Quintal
Cereals,Sajje,01-01-2025,-,1.00,Metric Tonnes,2800.00,2800.00,2800.00,Rs./Quintal
Cereals,Wheat,01-01-2025,2425.00,20151.31,Metric Tonnes,2756.02,2866.37,2957.17,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),02-01-2025,2775.00,3107.62,Metric Tonnes,2489.47,2590.41,2655.31,Rs./Quintal
Cereals,Barley(Jau),02-01-2025,1980.00,320.21,Metric Tonnes,2338.51,2376.29,2407.20,Rs./Quintal
Cereals,Jowar(Sorghum),02-01-2025,3699.00,1400.89,Metric Tonnes,2395.97,2953.92,3306.23,Rs./Quintal
Cereals,Kodo Millet(Varagu),02-01-2025,-,266.38,Metric Tonnes,2043.86,2166.97,2179.72,Rs./Quintal
Cereals,Kutki,02-01-2025,-,42.91,Metric Tonnes,3165.52,3211.64,3211.64,Rs./Quintal
Cereals,Maize,02-01-2025,2400.00,26864.96,Metric Tonnes,2097.30,2266.75,2446.68,Rs./Quintal
Cereals,Paddy(Basmati),02-01-2025,-,12874.50,Metric Tonnes,2703.29,2982.67,3122.63,Rs./Quintal
Cereals,Paddy(Common),02-01-2025,2369.00,199276.67,Metric Tonnes,2267.66,2369.01,2457.66,Rs./Quintal
Cereals,Ragi(Finger Millet),02-01-2025,4886.00,193.73,Metric Tonnes,3396.89,3453.05,3517.12,Rs./Quintal
Cereals,Rice,02-01-2025,-,16298.10,Metric Tonnes,3295.71,3415.26,3541.80,Rs./Quintal
Cereals,Same/Savi,02-01-2025,-,1.04,Metric Tonnes,2682.69,2682.69,2682.69,Rs./Quintal
Cereals,Wheat,02-01-2025,2425.00,24869.43,Metric Tonnes,2744.98,2896.03,3006.43,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),03-01-2025,2775.00,3587.01,Metric Tonnes,2527.23,2629.72,2700.85,Rs./Quintal
Cereals,Barley(Jau),03-01-2025,1980.00,286.75,Metric Tonnes,2397.47,2451.07,2495.62,Rs./Quintal
Cereals,Foxtail Millet(Navane),03-01-2025,-,29.00,Metric Tonnes,2846.76,3209.93,3483.72,Rs./Quintal
Cereals,Jowar(Sorghum),03-01-2025,3699.00,1123.51,Metric Tonnes,2496.45,3238.50,3658.45,Rs./Quintal
Cereals,Kodo Millet(Varagu),03-01-2025,-,368.79,Metric Tonnes,2058.00,2211.94,2261.96,Rs./Quintal
Cereals,Kutki,03-01-2025,-,44.40,Metric Tonnes,3025.59,3051.69,3051.69,Rs./Quintal
Cereals,Maize,03-01-2025,2400.00,41926.78,Metric Tonnes,2113.17,2283.71,2366.42,Rs./Quintal
Cereals,Paddy(Basmati),03-01-2025,-,19559.60,Metric Tonnes,2673.89,2858.50,2950.95,Rs./Quintal
Cereals,Paddy(Common),03-01-2025,2369.00,150706.28,Metric Tonnes,2255.62,2410.21,2501.30,Rs./Quintal
Cereals,Ragi(Finger Millet),03-01-2025,4886.00,159.06,Metric Tonnes,3258.46,3694.02,3842.10,Rs./Quintal
Cereals,Rice,03-01-2025,-,19389.25,Metric Tonnes,3374.09,3492.67,3599.10,Rs./Quintal
Cereals,Same/Savi,03-01-2025,-,15.00,Metric Tonnes,2100.00,2100.00,2100.00,Rs./Quintal
Cereals,Wheat,03-01-2025,2425.00,28856.19,Metric Tonnes,2740.34,2886.05,3151.97,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),04-01-2025,2775.00,3196.40,Metric Tonnes,2552.67,2640.06,2690.95,Rs./Quintal
Cereals,Barley(Jau),04-01-2025,1980.00,218.65,Metric Tonnes,2431.70,2475.65,2512.99,Rs./Quintal
Cereals,Foxtail Millet(Navane),04-01-2025,-,18.00,Metric Tonnes,3033.17,3434.22,4016.56,Rs./Quintal
Cereals,Hybrid Cumbu,04-01-2025,-,40.00,Metric Tonnes,55.00,58.00,60.00,Rs./Quintal
Cereals,Jowar(Sorghum),04-01-2025,3699.00,828.39,Metric Tonnes,2597.25,3284.85,3714.75,Rs./Quintal
Cereals,Kodo Millet(Varagu),04-01-2025,-,213.71,Metric Tonnes,2098.69,2232.88,2248.86,Rs./Quintal
Cereals,Kutki,04-01-2025,-,102.82,Metric Tonnes,2912.12,3002.49,3002.49,Rs./Quintal
Cereals,Maize,04-01-2025,2400.00,25973.04,Metric Tonnes,2125.05,2280.98,2384.25,Rs./Quintal
Cereals,Paddy(Basmati),04-01-2025,-,11577.10,Metric Tonnes,2670.03,2911.88,3046.27,Rs./Quintal
Cereals,Paddy(Common),04-01-2025,2369.00,126018.25,Metric Tonnes,2268.11,2413.45,2507.33,Rs./Quintal
