Commodity,Actual,Predicted,Difference,Error %
Mango,10714.2,10709.92,-4.28,0.04
Ragi(Finger Millet),3360.58,3298.66,-61.92,1.84
Barley(Jau),2262.64,2215.05,-47.59,2.1
Wheat,2528.53,2599.49,70.96,2.81
Capsicum,3656.4,3771.24,114.84,3.14
Elephant Yam(Suran)/Amorphophallus,4867.12,5045.38,178.26,3.66
Paddy(Common),2412.17,2323.95,-88.22,3.66
Pointed gourd(Parval),5399.22,5195.94,-203.28,3.76
Banana,3533.98,3400.34,-133.64,3.78
Apple,7082.49,7390.05,307.56,4.34
Rice,3551.48,3380.73,-170.75,4.81
Pineapple,3071.74,3233.6,161.86,5.27
Pomegranate,7963.81,8398.99,435.18,5.46
Bajra(Pearl Millet/Cumbu),2443.98,2307.13,-136.85,5.6
Kutki,3176.21,3355.2,178.99,5.64
Guava,3127.79,2933.26,-194.53,6.22
Chikoos(Sapota),3334.44,3549.62,215.18,6.45
Water Melon,1032.3,1109.88,77.58,7.52
Guar,5508.42,5082.71,-425.71,7.73
Kodo Millet(Varagu),2338.7,2561.88,223.18,9.54
Cowpea(Veg),4933.6,4419.9,-513.7,10.41
Paddy(Basmati),3436.84,3076.04,-360.8,10.5
Jack Fruit(Ripe),3000.0,2676.84,-323.16,10.77
Ber(Zizyphus/Borehannu),3378.87,3011.89,-366.98,10.86
Ginger(Green),4627.97,5146.27,518.3,11.2
Bottle gourd,1464.13,1629.97,165.84,11.33
Little gourd(Kundru),4268.97,3770.35,-498.62,11.68
Onion Green,83.54,94.07,10.53,12.6
Green Chilli,3552.18,3093.36,-458.82,12.92
Mashrooms,9444.45,8060.25,-1384.2,14.66
Bhindi(Ladies Finger),4448.37,3779.88,-668.49,15.03
Maize,1831.96,2145.04,313.08,17.09
Indian Colza(Sarson),1550.0,1826.55,276.55,17.84
Chilly Capsicum,2907.92,3439.35,531.43,18.28
Papaya,1534.54,1842.7,308.16,20.08
Same/Savi,3409.72,2683.48,-726.24,21.3
Amla(Nelli Kai),2043.91,2489.24,445.33,21.79
Galgal(Lemon),5035.71,3882.77,-1152.94,22.9
Orange,4839.81,3727.38,-1112.43,22.99
Carrot,2812.11,2163.27,-648.84,23.07
Jowar(Sorghum),4061.19,3105.87,-955.32,23.52
Sweet Pumpkin,1267.61,1565.96,298.35,23.54
Tinda,2078.23,2578.35,500.12,24.06
Beetroot,3712.62,2799.33,-913.29,24.6
Cauliflower,1077.67,1361.85,284.18,26.37
Foxtail Millet(Navane),2817.26,3644.02,826.75,29.35
Mousambi(Sweet Lime),2664.7,3457.66,792.96,29.76
Cucumbar(Kheera),3217.23,2189.14,-1028.09,31.96
Bitter gourd,5377.77,3613.22,-1764.55,32.81
Gram Raw(Chholia),6286.16,4177.24,-2108.92,33.55
Pumpkin,2515.34,1628.82,-886.52,35.24
Grapes,10761.69,6892.42,-3869.27,35.95
Sweet Potato,1782.05,2430.96,648.91,36.41
Yam(Ratalu),4174.83,5862.84,1688.01,40.43
Coriander(Leaves),509.17,286.44,-222.73,43.74
Mint(Pudina),103.22,56.23,-46.99,45.52
Brinjal,3532.42,1910.62,-1621.8,45.91
Karbuja(Musk Melon),1672.51,2486.11,813.6,48.65
Tomato,3516.43,1800.13,-1716.3,48.81
Turmeric(raw),11679.16,5950.15,-5729.01,49.05
Cabbage,2837.96,1389.82,-1448.13,51.03
Raddish,489.65,227.07,-262.58,53.63
Lime,2324.0,3616.92,1292.92,55.63
Onion,1491.78,2397.94,906.16,60.74
Field Pea,1891.2,3079.05,1187.85,62.81
Long Melon(Kakri),2521.79,4468.03,1946.24,77.18
Potato,856.95,1564.44,707.49,82.56
Drumstick,5197.25,9833.2,4635.95,89.2
Garlic,7680.5,16883.2,9202.7,119.82
Surat Beans(Papadi),2800.0,6653.95,3853.95,137.64
Spinach,59.97,143.65,83.68,139.53
Lemon,20.61,4507.44,4486.83,21770.15
