,Bajra(Pearl Millet/Cumbu),Barley(Jau),Foxtail Millet(Navane),Jowar(Sorghum),Kodo Millet(Varagu),Kutki,Maize,Paddy(Basmati),Paddy(Common),Ragi(Finger Millet),Rice,Wheat
2025-12-12,2440.85,2268.73,1920.0,3070.81,2025.52,3300.0,1695.7,3226.13,2579.04,3329.27,2929.5900000000006,2535.81
2025-12-13,2371.26,2832.6,2176.24,3577.33,1913.96,3303.0,1689.05,3619.13,2517.19,4091.6400000000003,4044.5499999999997,2502.26
2025-12-14,2335.2,2292.9,2176.24,2895.33,2351.72,3400.0,1696.74,3365.66,2805.49,4091.6400000000003,3429.1899999999996,2482.86
2025-12-15,2542.65,2241.27,2557.17,3743.69,2003.55,3400.0,1694.92,3287.12,2552.81,3590.46,3899.8,2528.09
2025-12-16,2499.82,2313.1099999999997,2168.24,3912.01,1990.74,3405.0,1695.55,3429.49,2485.76,3948.7500000000005,3710.47,2539.26
2025-12-17,2518.37,2292.61,2753.0,3794.0999999999995,2116.6,2572.84,1690.89,3343.89,2608.53,3968.8100000000004,3636.9400000000005,2535.02
2025-12-18,2447.51,2265.79,2245.65,3816.3799999999997,1917.75,2572.84,1696.09,3357.13,2716.86,3050.6,3601.71,2537.66
2025-12-19,2721.0499999999997,2320.75,2245.65,3712.52,1953.52,2572.84,1725.15,3403.3,2480.89,3553.19,3460.93,2543.04
2025-12-20,2533.39,2301.09,2719.31,3722.55,2072.33,3060.0,1699.1,3287.82,2537.62,3448.36,3373.59,2515.4
2025-12-21,2364.0,2270.46,2719.31,3192.0899999999997,1979.03,3339.55,1676.49,3273.88,2713.28,3448.36,3516.76,2474.83
2025-12-22,2526.93,2267.71,2643.14,4009.94,2060.41,3391.39,1686.29,3302.19,2532.16,3571.0399999999995,3787.63,2542.49
2025-12-23,2440.63,2315.6,2557.69,3947.28,2207.71,3410.98,1667.42,3329.41,2556.87,3554.5000000000005,3766.14,2559.12
2025-12-24,2457.05,2292.48,3003.0,3951.04,2004.78,3283.61,1711.7,3160.31,2538.36,3262.71,3534.3,2529.19
2025-12-25,2443.98,2262.64,3003.0,4061.1900000000005,2338.6999999999994,3176.21,1831.96,3436.84,2412.17,3360.5799999999995,3551.4800000000005,2528.53
2025-12-26,2496.72,1979.55,3003.0,3366.78,1920.35,3586.4199999999996,1755.41,3218.55,2512.34,3764.8999999999996,3283.65,2536.11
